unit_price,order_value,quantity,country,major_category,minor_category,description,year,month,quarter,hour,day_time
9.95,9.95,1,United Kingdom,Kitchen,Cutlery,CAKES AND BOWS GIFT  TAPE,2011,8,Q3,15,Afternoon
1.65,19.8,12,United Kingdom,Clothes,Tops,HAND WARMER OWL DESIGN,2011,9,Q3,15,Afternoon
2.55,81.6,32,United Kingdom,Garden,Hoses,EGG CUP HENRIETTA HEN CREAM,2011,11,Q4,8,Morning
8.29,8.29,1,United Kingdom,Garden,Hoses,CHARLOTTE BAG VINTAGE ALPHABET,2011,11,Q4,15,Afternoon
5.79,34.74,6,United Kingdom,Garden,Seeds,HAND WARMER OWL DESIGN,2011,9,Q3,12,Morning
1.45,1.45,1,United Kingdom,Clothes,Shoes,CHILDS BREAKFAST SET CIRCUS PARADE,2011,5,Q2,11,Morning
2.08,4.16,2,United Kingdom,Household,Lamps,MINI PAINT SET VINTAGE,2011,8,Q3,15,Afternoon
3.75,22.5,6,United Kingdom,Kitchen,Bowls,ASSORTED COLOUR MINI CASES,2011,8,Q3,16,Afternoon
1.69,13.52,8,United Kingdom,Household,Rugs,RETROSPOT TEA SET CERAMIC 11 PC,2011,4,Q2,12,Morning
1.25,2.5,2,United Kingdom,Clothes,Shoes,WRAP DOILEY DESIGN,2011,5,Q2,13,Afternoon
3.75,11.25,3,United Kingdom,Kitchen,Plates,MAGNETS PACK OF 4 HOME SWEET HOME,2011,11,Q4,12,Morning
0.42,0.84,2,United Kingdom,Garden,Turf,LUNCH BOX WITH CUTLERY RETROSPOT,2011,2,Q1,9,Morning
4.96,9.92,2,United Kingdom,Clothes,Tops,ASSORTED COLOURS SILK FAN,2011,11,Q4,14,Afternoon
4.24,4.24,1,United Kingdom,Garden,Hoses,SET/6 RED SPOTTY PAPER PLATES,2010,9,Q3,14,Afternoon
1.65,19.8,12,United Kingdom,Clothes,Shoes,METAL DECORATION NAUGHTY CHILDREN,2011,10,Q4,12,Morning
2.1,2.1,1,United Kingdom,Household,Chairs,PLASTERS IN TIN STRONGMAN,2011,11,Q4,14,Afternoon
4.96,19.84,4,United Kingdom,Household,Rugs,LUNCH BAG DOILEY PATTERN,2011,5,Q2,14,Afternoon
3.75,22.5,6,United Kingdom,Garden,Turf,DOORMAT WELCOME TO OUR HOME,2011,5,Q2,10,Morning
7.95,15.9,2,United Kingdom,Garden,Hoses,WRAP VINTAGE PETALS  DESIGN,2011,1,Q1,12,Morning
0.85,8.5,10,United Kingdom,Garden,Turf,WOODLAND CHARLOTTE BAG,2011,10,Q4,12,Morning
1.65,39.6,24,United Kingdom,Household,Chairs,POSTAGE,2011,11,Q4,9,Morning
1.25,12.5,10,United Kingdom,Household,Rugs,GREEN REGENCY TEACUP AND SAUCER,2011,7,Q3,10,Morning
4.95,4.95,1,United Kingdom,Kitchen,Scales,WRAP GREEN PEARS,2011,9,Q3,14,Afternoon
0.85,1.7,2,United Kingdom,Household,Lamps,SPACEBOY ROCKET LOLLY MAKERS,2011,7,Q3,11,Morning
2.95,2.95,1,United Kingdom,Kitchen,Plates,WRAP DOLLY GIRL,2011,11,Q4,12,Morning
6.63,79.56,12,United Kingdom,Garden,Hoses,SET OF 6 HERB TINS SKETCHBOOK,2011,11,Q4,13,Afternoon
1.65,19.8,12,United Kingdom,Kitchen,Cutlery,200 RED + WHITE BENDY STRAWS,2011,10,Q4,10,Morning
0.42,1.68,4,United Kingdom,Household,Curtains,ENAMEL WATERING CAN CREAM,2011,2,Q1,11,Morning
1.45,1.45,1,United Kingdom,Clothes,Hats,PINK HAPPY BIRTHDAY BUNTING,2011,9,Q3,10,Morning
1.25,1.25,1,United Kingdom,Clothes,Tops,PACK OF 6 SKULL PAPER PLATES,2011,8,Q3,17,Afternoon
5.95,35.7,6,United Kingdom,Garden,Seeds,HEART OF WICKER SMALL,2011,6,Q2,11,Morning
1.66,3.32,2,United Kingdom,Clothes,Tops,DOORMAT WELCOME TO OUR HOME,2010,12,Q4,10,Morning
8.25,16.5,2,United Kingdom,Kitchen,Cutlery,JUMBO BAG PINK VINTAGE PAISLEY,2011,11,Q4,10,Morning
2.95,2.95,1,United Kingdom,Garden,Hoses,3D CHRISTMAS STAMPS STICKERS,2011,6,Q2,12,Morning
2.08,20.8,10,United Kingdom,Household,Curtains,TREASURE TIN BUFFALO BILL,2011,5,Q2,13,Afternoon
4.96,4.96,1,United Kingdom,Household,Lamps,BLUE SPOT CERAMIC DRAWER KNOB,2011,1,Q1,17,Afternoon
1.25,25.0,20,United Kingdom,Kitchen,Cutlery,CHILDRENS APRON APPLES DESIGN,2011,5,Q2,12,Morning
1.66,1.66,1,United Kingdom,Clothes,Shoes,DOORMAT AIRMAIL,2011,5,Q2,16,Afternoon
2.95,2.95,1,United Kingdom,Garden,Seeds,DOLLY GIRL MINI BACKPACK,2011,2,Q1,14,Afternoon
3.75,15.0,4,United Kingdom,Garden,Turf,HEART WREATH DECORATION WITH BELL,2011,8,Q3,14,Afternoon
2.95,35.4,12,United Kingdom,Kitchen,Plates,APRON APPLE DELIGHT,2011,2,Q1,14,Afternoon
0.29,1.45,5,United Kingdom,Kitchen,Plates,STRAWBERRY LUNCH BOX WITH CUTLERY,2011,11,Q4,16,Afternoon
4.13,16.52,4,United Kingdom,Garden,Turf,TRADITIONAL KNITTING NANCY,2011,3,Q1,16,Afternoon
5.75,23.0,4,United Kingdom,Clothes,Shoes,JUMBO BAG VINTAGE DOILY,2011,8,Q3,14,Afternoon
9.95,39.8,4,United Kingdom,Clothes,Hats,RAIN PONCHO RETROSPOT,2011,9,Q3,11,Morning
0.29,1.74,6,United Kingdom,Household,Curtains,LARGE CHINESE STYLE SCISSOR,2011,11,Q4,15,Afternoon
2.95,35.4,12,United Kingdom,Kitchen,Scales,PINK AND WHITE CHRISTMAS TREE 120CM,2011,9,Q3,13,Afternoon
5.79,5.79,1,United Kingdom,Garden,Rakes,FAIRY CAKE BIRTHDAY CANDLE SET,2011,2,Q1,18,Afternoon
1.65,13.2,8,United Kingdom,Garden,Rakes,MINI LIGHTS WOODLAND MUSHROOMS,2010,9,Q3,14,Afternoon
4.25,4.25,1,United Kingdom,Kitchen,Plates,PACK 3 BOXES BIRD PANNETONE,2011,3,Q1,13,Afternoon
1.45,34.8,24,United Kingdom,Garden,Turf,REGENCY CAKESTAND 3 TIER,2011,7,Q3,10,Morning
2.55,7.65,3,United Kingdom,Clothes,Tops,REGENCY CAKESTAND 3 TIER,2011,8,Q3,11,Morning
1.63,1.63,1,United Kingdom,Kitchen,Bowls,MULTICOLOUR HONEYCOMB FAN,2011,10,Q4,16,Afternoon
4.13,4.13,1,United Kingdom,Garden,Hoses,RED RETROSPOT CAKE STAND,2011,4,Q2,9,Morning
3.95,15.8,4,United Kingdom,Kitchen,Cooking Knives,PACK OF 12 WOODLAND TISSUES,2011,1,Q1,12,Morning
3.29,6.58,2,United Kingdom,Kitchen,Scales,PACK OF 6 PANNETONE GIFT BOXES,2011,2,Q1,9,Morning
0.39,1.17,3,United Kingdom,Clothes,Tops,SET/6 RED SPOTTY PAPER CUPS,2011,11,Q4,13,Afternoon
0.29,6.38,22,United Kingdom,Kitchen,Scales,RED BABY BUNTING,2011,11,Q4,15,Afternoon
0.55,0.55,1,United Kingdom,Household,Lamps,COFFEE MUG PEARS  DESIGN,2011,8,Q3,14,Afternoon
0.83,5.81,7,United Kingdom,Household,Lamps,HOLIDAY FUN LUDO,2011,8,Q3,9,Morning
2.1,14.7,7,United Kingdom,Clothes,Hats,TRADITIONAL PICK UP STICKS GAME,2011,6,Q2,17,Afternoon
1.25,15.0,12,United Kingdom,Garden,Seeds,SET OF 60 I LOVE LONDON CAKE CASES,2011,9,Q3,12,Morning
1.25,30.0,24,United Kingdom,Kitchen,Cooking Knives,WOODEN TREE CHRISTMAS SCANDINAVIAN,2011,1,Q1,14,Afternoon
5.06,10.12,2,United Kingdom,Clothes,Hats,BREAD BIN DINER STYLE PINK,2010,7,Q3,15,Afternoon
2.1,12.6,6,United Kingdom,Kitchen,Scales,SET 2 PANTRY DESIGN TEA TOWELS,2011,9,Q3,10,Morning
2.08,20.8,10,United Kingdom,Clothes,Tops,SPACEBOY TV DINNER TRAY,2011,11,Q4,11,Morning
0.19,0.38,2,United Kingdom,Clothes,Tops,EMBROIDERED RIBBON REEL DAISY,2011,11,Q4,14,Afternoon
2.95,17.7,6,United Kingdom,Garden,Rakes,KIDS RAIN MAC BLUE,2010,1,Q1,12,Morning
2.25,2.25,1,United Kingdom,Clothes,Shoes,POSTAGE,2011,5,Q2,16,Afternoon
8.29,8.29,1,United Kingdom,Clothes,Shoes,WHITE SPOT RED CERAMIC DRAWER KNOB,2011,1,Q1,15,Afternoon
4.96,69.44,14,United Kingdom,Household,Chairs,CHILDS BREAKFAST SET DOLLY GIRL,2011,3,Q1,9,Morning
5.79,11.58,2,United Kingdom,Kitchen,Bowls,LUNCH BAG WOODLAND,2011,3,Q1,16,Afternoon
2.51,2.51,1,United Kingdom,Garden,Rakes,LUNCH BAG APPLE DESIGN,2011,7,Q3,13,Afternoon
4.95,4.95,1,United Kingdom,Garden,Seeds,PLASTERS IN TIN STRONGMAN,2010,10,Q4,11,Morning
1.25,1.25,1,United Kingdom,Kitchen,Coasters,LIGHT GARLAND BUTTERFILES PINK,2011,11,Q4,15,Afternoon
1.25,7.5,6,United Kingdom,Kitchen,Coasters,CLOTHES PEGS RETROSPOT PACK 24,2010,12,Q4,17,Afternoon
1.65,19.8,12,United Kingdom,Kitchen,Coasters,SET/6 RED SPOTTY PAPER PLATES,2011,11,Q4,17,Afternoon
0.85,2.55,3,United Kingdom,Household,Chairs,CHILDS BREAKFAST SET SPACEBOY,2011,11,Q4,11,Morning
0.42,5.04,12,United Kingdom,Household,Lamps,ROLL WRAP VINTAGE CHRISTMAS,2011,11,Q4,14,Afternoon
5.95,11.9,2,United Kingdom,Kitchen,Cooking Knives,RETROSPOT HEART HOT WATER BOTTLE,2011,3,Q1,8,Morning
4.95,4.95,1,United Kingdom,Garden,Turf,SET OF 72 RETROSPOT PAPER  DOILIES,2011,5,Q2,15,Afternoon
0.42,10.08,24,United Kingdom,Household,Chairs,JAM MAKING SET PRINTED,2011,9,Q3,12,Morning
4.15,4.15,1,United Kingdom,Household,Lamps,SET OF 5 PANCAKE DAY MAGNETS,2011,9,Q3,12,Morning
0.55,13.2,24,United Kingdom,Garden,Hoses,CLOTHES PEGS RETROSPOT PACK 24,2011,1,Q1,12,Morning
0.85,3.4,4,United Kingdom,Clothes,Shoes,RED RETROSPOT CAKE STAND,2011,10,Q4,13,Afternoon
0.39,9.36,24,United Kingdom,Clothes,Hats,RED KUKUI COCONUT SEED NECKLACE,2011,10,Q4,14,Afternoon
4.95,39.6,8,United Kingdom,Kitchen,Bowls,POSTAGE,2011,6,Q2,11,Morning
0.42,5.04,12,United Kingdom,Garden,Turf,HOME SWEET HOME METAL SIGN,2011,11,Q4,12,Morning
1.25,7.5,6,United Kingdom,Clothes,Shoes,METAL 4 HOOK HANGER FRENCH CHATEAU,2011,4,Q2,13,Afternoon
1.25,3.75,3,United Kingdom,Garden,Seeds,GIFT BAG PSYCHEDELIC APPLES,2011,11,Q4,15,Afternoon
2.95,17.7,6,United Kingdom,Household,Lamps,ASS FLORAL PRINT MULTI SCREWDRIVER,2011,7,Q3,9,Morning
0.83,1.66,2,United Kingdom,Garden,Rakes,ZINC WILLIE WINKIE  CANDLE STICK,2011,6,Q2,15,Afternoon
0.65,7.8,12,Germany,Garden,Hoses,PACK OF 72 RETROSPOT CAKE CASES,2011,1,Q1,9,Morning
2.1,25.2,12,Germany,Clothes,Hats,HEART WOODEN CHRISTMAS DECORATION,2011,10,Q4,15,Afternoon
1.25,15.0,12,Germany,Kitchen,Plates,SET/10 PINK POLKADOT PARTY CANDLES,2011,11,Q4,13,Afternoon
0.85,8.5,10,Germany,Household,Lamps,STOOL HOME SWEET HOME,2011,5,Q2,13,Afternoon
2.1,50.4,24,Germany,Household,Rugs,MAGIC DRAWING SLATE DOLLY GIRL,2011,4,Q2,13,Afternoon
8.5,34.0,4,Germany,Household,Chairs,LUNCH BAG WOODLAND,2011,4,Q2,13,Afternoon
7.95,15.9,2,Germany,Kitchen,Cutlery,SET/6 COLLAGE PAPER CUPS,2011,10,Q4,9,Morning
4.95,14.85,3,Germany,Garden,Rakes,LUNCH BOX WITH CUTLERY RETROSPOT,2011,2,Q1,9,Morning
0.42,10.5,25,Germany,Clothes,Tops,SET OF SALT AND PEPPER TOADSTOOLS,2011,7,Q3,14,Afternoon
0.39,4.68,12,Germany,Household,Curtains,EDWARDIAN PARASOL BLACK,2011,10,Q4,8,Morning
0.85,10.2,12,Germany,Clothes,Hats,PAPER CHAIN KIT 50'S CHRISTMAS,2011,7,Q3,10,Morning
0.85,20.4,24,Germany,Kitchen,Scales,MAGNETS PACK OF 4 HOME SWEET HOME,2010,12,Q4,12,Morning
1.65,19.8,12,Germany,Garden,Rakes,LONDON BUS COFFEE MUG,2011,8,Q3,8,Morning
1.65,33.0,20,Germany,Garden,Rakes,SET OF 6 T-LIGHTS CACTI,2011,6,Q2,10,Morning
5.95,35.7,6,Germany,Garden,Seeds,ROMANTIC IMAGES GIFT WRAP SET,2011,11,Q4,13,Afternoon
7.95,15.9,2,Germany,Kitchen,Cutlery,PLASTERS IN TIN SPACEBOY,2011,4,Q2,14,Afternoon
0.42,10.5,25,Germany,Garden,Rakes,LUNCH BAG PAISLEY PARK,2011,3,Q1,13,Afternoon
0.85,17.0,20,Germany,Kitchen,Plates,WOODEN SKITTLES GARDEN SET,2011,11,Q4,13,Afternoon
2.95,17.7,6,Germany,Household,Curtains,SET OF 6 SNACK LOAF BAKING CASES,2011,8,Q3,15,Afternoon
0.42,10.5,25,Germany,Household,Lamps,FELTCRAFT CUSHION OWL,2011,8,Q3,11,Morning
2.08,37.44,18,Germany,Household,Chairs,PINK PARTY BAGS,2011,11,Q4,13,Afternoon
0.42,10.5,25,Germany,Garden,Rakes,SET/10 RED POLKADOT PARTY CANDLES,2011,11,Q4,11,Morning
1.25,15.0,12,Germany,Garden,Hoses,SET 2 TEA TOWELS I LOVE LONDON,2011,7,Q3,8,Morning
4.95,19.8,4,Germany,Household,Chairs,CHILDRENS APRON SPACEBOY DESIGN,2011,6,Q2,14,Afternoon
5.45,16.35,3,Germany,Clothes,Tops,RED ROCKING HORSE HAND PAINTED,2011,4,Q2,12,Morning
0.85,10.2,12,Germany,Clothes,Shoes,CHARLIE & LOLA WASTEPAPER BIN FLORA,2011,7,Q3,12,Morning
1.65,19.8,12,Germany,Household,Chairs,POSTAGE,2011,1,Q1,10,Morning
7.95,15.9,2,Germany,Clothes,Hats,WRAP DOILEY DESIGN,2011,10,Q4,11,Morning
2.08,20.8,10,Germany,Garden,Rakes,SET OF 12 FAIRY CAKE BAKING CASES,2011,7,Q3,10,Morning
1.25,22.5,18,Germany,Household,Lamps,JAM JAR WITH PINK LID,2011,11,Q4,10,Morning
2.08,12.48,6,Germany,Clothes,Hats,RED TOADSTOOL LED NIGHT LIGHT,2011,6,Q2,10,Morning
1.45,17.4,12,Germany,Clothes,Hats,RETROSPOT TEA SET CERAMIC 11 PC,2011,9,Q3,12,Morning
1.95,15.6,8,Germany,Kitchen,Cutlery,WHITE ROCKING HORSE HAND PAINTED,2010,5,Q2,14,Afternoon
7.95,15.9,2,Germany,Household,Curtains,SET OF 3 REGENCY CAKE TINS,2011,10,Q4,9,Morning
4.15,16.6,4,Germany,Kitchen,Cutlery,STRAWBERRY CHARLOTTE BAG,2011,10,Q4,14,Afternoon
1.25,15.0,12,Germany,Garden,Rakes,SOLDIERS EGG CUP,2011,7,Q3,10,Morning
4.95,19.8,4,Germany,Clothes,Hats,QUEENS GUARD COFFEE MUG,2011,5,Q2,10,Morning
2.55,15.3,6,Germany,Kitchen,Cooking Knives,SET/20 RED RETROSPOT PAPER NAPKINS,2011,6,Q2,14,Afternoon
2.95,17.7,6,Germany,Household,Curtains,BLUE POLKADOT WRAP,2011,7,Q3,12,Morning
1.65,19.8,12,Germany,Garden,Hoses,CHILDRENS APRON APPLES DESIGN,2011,10,Q4,12,Morning
2.08,20.8,10,Germany,Clothes,Tops,12 PENCILS SMALL TUBE SKULL,2011,11,Q4,13,Afternoon
0.85,20.4,24,Germany,Kitchen,Cutlery,BLUE ROSE FABRIC MIRROR,2011,1,Q1,13,Afternoon
0.85,8.5,10,Germany,Kitchen,Plates,RIBBON REEL LACE DESIGN,2011,10,Q4,15,Afternoon
2.95,17.7,6,Germany,Garden,Seeds,CHILDRENS APRON APPLES DESIGN,2011,9,Q3,15,Afternoon
3.75,30.0,8,Germany,Garden,Turf,RABBIT NIGHT LIGHT,2011,1,Q1,13,Afternoon
3.75,15.0,4,Germany,Household,Lamps,SPACEBOY MINI BACKPACK,2011,11,Q4,17,Afternoon
1.95,23.4,12,Germany,Household,Curtains,POSTAGE,2011,1,Q1,10,Morning
0.39,4.68,12,Germany,Household,Rugs,PINK BABY BUNTING,2011,8,Q3,11,Morning
0.29,6.96,24,Germany,Kitchen,Coasters,PINK FAIRY CAKE CHILDRENS APRON,2011,4,Q2,12,Morning
2.55,15.3,6,Germany,Garden,Seeds,PACK OF 60 MUSHROOM CAKE CASES,2011,1,Q1,10,Morning
1.45,17.4,12,Germany,Clothes,Hats,WOODLAND PARTY BAG + STICKER SET,2011,2,Q1,9,Morning
0.65,7.8,12,Germany,Kitchen,Scales,POSTAGE,2011,8,Q3,9,Morning
2.95,14.75,5,Germany,Garden,Turf,PANTRY MAGNETIC  SHOPPING LIST,2011,7,Q3,14,Afternoon
2.55,30.6,12,Germany,Household,Chairs,COFFEE MUG CAT + BIRD DESIGN,2011,2,Q1,13,Afternoon
3.75,15.0,4,Germany,Kitchen,Cooking Knives,MINI JIGSAW SPACEBOY,2011,3,Q1,13,Afternoon
4.95,44.55,9,Germany,Clothes,Shoes,LUNCH BAG SPACEBOY DESIGN,2011,9,Q3,15,Afternoon
2.95,17.7,6,Germany,Garden,Hoses,SET OF 3 REGENCY CAKE TINS,2011,11,Q4,13,Afternoon
1.25,15.0,12,Germany,Garden,Rakes,12 PENCILS SMALL TUBE SKULL,2011,8,Q3,11,Morning
0.55,13.2,24,Germany,Clothes,Hats,RETROSPOT PARTY BAG + STICKER SET,2011,9,Q3,9,Morning
0.85,20.4,24,Germany,Household,Chairs,SET/20 RED RETROSPOT PAPER NAPKINS,2010,5,Q2,14,Afternoon
4.95,14.85,3,Germany,Clothes,Tops,RED TOADSTOOL LED NIGHT LIGHT,2011,9,Q3,13,Afternoon
3.25,19.5,6,Germany,Clothes,Hats,CREAM FELT EASTER EGG BASKET,2011,9,Q3,13,Afternoon
4.95,14.85,3,Germany,Garden,Hoses,TREASURE TIN GYMKHANA DESIGN,2011,7,Q3,10,Morning
2.08,12.48,6,Germany,Household,Rugs,PLASTERS IN TIN STRONGMAN,2011,10,Q4,14,Afternoon
0.85,20.4,24,Germany,Garden,Rakes,WRAP RED VINTAGE DOILY,2011,1,Q1,15,Afternoon
1.25,15.0,12,Germany,Garden,Rakes,REGENCY SUGAR BOWL GREEN,2011,8,Q3,9,Morning
9.95,19.9,2,Germany,Clothes,Tops,SET/6 RED SPOTTY PAPER CUPS,2011,7,Q3,12,Morning
1.65,16.5,10,Germany,Clothes,Tops,GROW YOUR OWN PLANT IN A CAN,2011,9,Q3,16,Afternoon
1.65,16.5,10,Germany,Clothes,Hats,CARD DOLLY GIRL,2011,8,Q3,15,Afternoon
1.65,39.6,24,Germany,Clothes,Hats,PINK POLKADOT BOWL,2011,1,Q1,13,Afternoon
4.25,17.0,4,Germany,Clothes,Tops,SPOTTY BUNTING,2011,10,Q4,12,Morning
1.65,19.8,12,Germany,Garden,Seeds,MAGNETS PACK OF 4 SWALLOWS,2011,7,Q3,15,Afternoon
0.85,10.2,12,Germany,Garden,Rakes,CHARLOTTE BAG PINK POLKADOT,2011,3,Q1,15,Afternoon
8.5,68.0,8,Germany,Garden,Hoses,WHITE ROCKING HORSE HAND PAINTED,2011,11,Q4,8,Morning
1.25,15.0,12,Germany,Kitchen,Cutlery,WRAP ALPHABET DESIGN,2011,11,Q4,17,Afternoon
0.42,8.4,20,Germany,Garden,Rakes,RABBIT NIGHT LIGHT,2011,10,Q4,12,Morning
4.95,14.85,3,Germany,Clothes,Hats,POSTAGE,2011,10,Q4,14,Afternoon
1.45,17.4,12,Germany,Clothes,Hats,DOORMAT BLACK FLOCK,2011,11,Q4,10,Morning
2.08,24.96,12,Germany,Clothes,Hats,GYMKHANA TREASURE BOOK BOX,2011,7,Q3,12,Morning
1.65,19.8,12,Germany,Garden,Rakes,SET OF 5 LUCKY CAT MAGNETS,2011,6,Q2,15,Afternoon
1.0,24.0,24,Germany,Clothes,Shoes,RED HEART SHAPE LOVE BUCKET,2011,9,Q3,15,Afternoon
2.95,35.4,12,Germany,Household,Chairs,BASKET OF TOADSTOOLS,2011,4,Q2,13,Afternoon
2.95,23.6,8,Germany,Garden,Rakes,SMALL POPCORN HOLDER,2011,10,Q4,11,Morning
0.65,7.8,12,Germany,Kitchen,Bowls,CARDHOLDER GINGHAM CHRISTMAS TREE,2011,5,Q2,14,Afternoon
0.42,10.08,24,Germany,Kitchen,Bowls,JUMBO STORAGE BAG SUKI,2011,7,Q3,10,Morning
0.85,10.2,12,Germany,Clothes,Tops,5 HOOK HANGER RED MAGIC TOADSTOOL,2011,2,Q1,14,Afternoon
0.55,13.2,24,France,Kitchen,Scales,PINK REGENCY TEACUP AND SAUCER,2011,6,Q2,14,Afternoon
0.85,10.2,12,France,Household,Lamps,WHITE HEART CONFETTI IN TUBE,2011,3,Q1,10,Morning
1.25,30.0,24,France,Household,Lamps,ALARM CLOCK BAKELIKE RED,2010,9,Q3,12,Morning
0.42,10.08,24,France,Kitchen,Cutlery,TRADITIONAL WOODEN SKIPPING ROPE,2011,11,Q4,11,Morning
1.65,16.5,10,France,Garden,Seeds,DOORMAT UNION FLAG,2011,3,Q1,11,Morning
0.42,6.72,16,France,Kitchen,Plates,UNION STRIPE WITH FRINGE  HAMMOCK,2011,9,Q3,14,Afternoon
0.65,7.8,12,France,Garden,Seeds,SPOTTY BUNTING,2011,3,Q1,10,Morning
2.55,30.6,12,France,Household,Lamps,MODERN FLORAL STATIONERY SET,2011,6,Q2,11,Morning
1.25,15.0,12,France,Kitchen,Cutlery,ASSORTED COLOUR MINI CASES,2010,3,Q1,13,Afternoon
5.95,17.85,3,France,Kitchen,Scales,RED SPOTTY BISCUIT TIN,2011,3,Q1,10,Morning
1.25,30.0,24,France,Garden,Seeds,SET OF 6 TEA TIME BAKING CASES,2011,9,Q3,17,Afternoon
2.95,70.8,24,France,Kitchen,Cutlery,DOLLY HONEYCOMB GARLAND,2011,11,Q4,15,Afternoon
2.95,17.7,6,France,Garden,Seeds,VINTAGE CHRISTMAS STOCKING,2011,10,Q4,13,Afternoon
0.39,4.68,12,France,Garden,Hoses,SQUARECUSHION COVER PINK UNION FLAG,2011,11,Q4,15,Afternoon
2.55,7.65,3,France,Garden,Hoses,WRAP ALPHABET DESIGN,2011,10,Q4,16,Afternoon
2.95,53.1,18,France,Household,Curtains,BLUE POLKADOT PLATE,2011,1,Q1,10,Morning
2.1,12.6,6,France,Clothes,Shoes,BLUE CHARLIE+LOLA PERSONAL DOORSIGN,2011,6,Q2,14,Afternoon
1.65,1.65,1,France,Clothes,Tops,MINI PAINT SET VINTAGE,2011,4,Q2,13,Afternoon
1.25,12.5,10,France,Household,Curtains,"SET 3 RETROSPOT TEA,COFFEE,SUGAR",2011,7,Q3,13,Afternoon
0.83,6.64,8,France,Household,Chairs,REGENCY MILK JUG PINK,2011,9,Q3,13,Afternoon
3.75,15.0,4,France,Garden,Seeds,CARD CIRCUS PARADE,2011,4,Q2,9,Morning
