invoiceno,unitprice,ordervalue,quantity,country,invoicedate,invoicetime,year_month,major_category,minor_category,description,year,month,hour,time_of_day
565396,2.46,2.46,1,United Kingdom,2011-09-02,0 days 16:39:00,2011-09,Clothes,Tops,ROLL WRAP VINTAGE SPOT,2011,9,16,Afternoon
545580,0.55,13.2,24,United Kingdom,2011-03-04,0 days 08:43:00,2011-03,Garden,Seeds,72 SWEETHEART FAIRY CAKE CASES,2011,3,8,Morning
562085,1.45,34.8,24,United Kingdom,2011-08-02,0 days 12:27:00,2011-08,Kitchen,Plates,JAM MAKING SET PRINTED,2011,8,12,Afternoon
559505,2.95,35.4,12,United Kingdom,2011-07-08,0 days 15:16:00,2011-07,Clothes,Shoes,NATURAL SLATE HEART CHALKBOARD,2011,7,15,Afternoon
539453,25.49,25.49,1,United Kingdom,2010-12-17,0 days 17:08:00,2010-12,Kitchen,Plates,12 EGG HOUSE PAINTED WOOD,2010,12,17,Afternoon
579142,0.85,2.55,3,United Kingdom,2011-11-28,0 days 13:06:00,2011-11,Clothes,Tops,CHRISTMAS RETROSPOT TREE WOOD,2011,11,13,Afternoon
548309,1.65,1.65,1,United Kingdom,2011-03-30,0 days 12:02:00,2011-03,Garden,Seeds,PLASTERS IN TIN CIRCUS PARADE,2011,3,12,Afternoon
540703,0.42,10.5,25,United Kingdom,2011-01-11,0 days 09:58:00,2011-01,Household,Curtains,WRAP SUKI AND FRIENDS,2011,1,9,Morning
546913,2.95,2.95,1,United Kingdom,2011-03-17,0 days 20:18:00,2011-03,Clothes,Tops,RECIPE BOX RETROSPOT,2011,3,20,Evening
550834,4.25,4.25,1,United Kingdom,2011-04-21,0 days 10:51:00,2011-04,Garden,Turf,BOX OF 6 ASSORTED COLOUR TEASPOONS,2011,4,10,Morning
581167,2.08,20.8,10,United Kingdom,2011-12-07,0 days 14:52:00,2011-12,Household,Chairs,JUMBO  BAG BAROQUE BLACK WHITE,2011,12,14,Afternoon
547655,1.25,15.0,12,United Kingdom,2011-03-24,0 days 12:52:00,2011-03,Household,Curtains,HOME SWEET HOME MUG,2011,3,12,Afternoon
567333,0.39,9.36,24,United Kingdom,2011-09-19,0 days 14:55:00,2011-09,Household,Rugs,MOODY GIRL DOOR HANGER,2011,9,14,Afternoon
550211,4.13,4.13,1,United Kingdom,2011-04-15,0 days 10:41:00,2011-04,Household,Curtains,JUMBO SHOPPER VINTAGE RED PAISLEY,2011,4,10,Morning
564223,4.95,14.85,3,United Kingdom,2011-08-24,0 days 09:46:00,2011-08,Kitchen,Cutlery,EMPIRE UNION JACK TV DINNER TRAY,2011,8,9,Morning
563333,2.95,11.8,4,United Kingdom,2011-08-15,0 days 13:09:00,2011-08,Household,Lamps,PHOTO FRAME CORNICE,2011,8,13,Afternoon
577058,0.83,0.83,1,United Kingdom,2011-11-17,0 days 14:29:00,2011-11,Household,Chairs,TOILET SIGN OCCUPIED OR VACANT,2011,11,14,Afternoon
541282,1.25,7.5,6,United Kingdom,2011-01-17,0 days 12:31:00,2011-01,Clothes,Tops,RETRO COFFEE MUGS ASSORTED,2011,1,12,Afternoon
580771,0.79,3.16,4,United Kingdom,2011-12-06,0 days 10:58:00,2011-12,Household,Lamps,SET OF 4 NAPKIN CHARMS CROWNS,2011,12,10,Morning
554538,19.95,39.9,2,United Kingdom,2011-05-24,0 days 17:46:00,2011-05,Clothes,Hats,SWEETHEART CREAM STEEL TABLE RECT,2011,5,17,Afternoon
562851,1.65,19.8,12,United Kingdom,2011-08-10,0 days 10:09:00,2011-08,Kitchen,Scales,HEART FILIGREE DOVE LARGE,2011,8,10,Morning
559338,0.83,1.66,2,United Kingdom,2011-07-07,0 days 16:30:00,2011-07,Household,Lamps,SCOTTIE DOGS BABY BIB,2011,7,16,Afternoon
578072,2.49,4.98,2,United Kingdom,2011-11-22,0 days 16:02:00,2011-11,Household,Curtains,BOX OF 6 MINI VINTAGE CRACKERS,2011,11,16,Afternoon
556734,5.95,17.85,3,United Kingdom,2011-06-14,0 days 12:00:00,2011-06,Garden,Seeds,BLACK/BLUE POLKADOT UMBRELLA,2011,6,12,Afternoon
557476,4.95,39.6,8,United Kingdom,2011-06-20,0 days 13:41:00,2011-06,Kitchen,Plates,PARTY BUNTING,2011,6,13,Afternoon
539739,1.66,6.64,4,United Kingdom,2010-12-21,0 days 15:19:00,2010-12,Household,Lamps,SMALL HEART MEASURING SPOONS,2010,12,15,Afternoon
581023,7.46,29.84,4,United Kingdom,2011-12-07,0 days 10:35:00,2011-12,Clothes,Shoes,SET 6 SCHOOL MILK BOTTLES IN CRATE,2011,12,10,Morning
579508,3.29,3.29,1,United Kingdom,2011-11-29,0 days 16:33:00,2011-11,Garden,Seeds,CERAMIC CHERRY CAKE MONEY BANK,2011,11,16,Afternoon
575176,0.42,0.84,2,United Kingdom,2011-11-08,0 days 18:29:00,2011-11,Clothes,Shoes,CARD SUKI BIRTHDAY,2011,11,18,Evening
573876,0.55,1.1,2,United Kingdom,2011-11-01,0 days 12:48:00,2011-11,Household,Curtains,SET OF 60 I LOVE LONDON CAKE CASES,2011,11,12,Afternoon
559818,0.55,79.2,144,United Kingdom,2011-07-12,0 days 16:37:00,2011-07,Garden,Seeds,COLOUR GLASS T-LIGHT HOLDER HANGING,2011,7,16,Afternoon
536409,4.95,4.95,1,United Kingdom,2010-12-01,0 days 11:45:00,2010-12,Kitchen,Scales,CHOCOLATE HOT WATER BOTTLE,2010,12,11,Morning
569220,1.25,2.5,2,United Kingdom,2011-10-02,0 days 13:26:00,2011-10,Garden,Turf,MODERN FLORAL STATIONERY SET,2011,10,13,Afternoon
547947,1.65,16.5,10,United Kingdom,2011-03-28,0 days 15:03:00,2011-03,Household,Lamps,LUNCH BAG PINK POLKADOT,2011,3,15,Afternoon
557311,4.25,8.5,2,United Kingdom,2011-06-19,0 days 15:36:00,2011-06,Kitchen,Plates,SET3 BOOK BOX GREEN GINGHAM FLOWER,2011,6,15,Afternoon
551718,1.63,1.63,1,United Kingdom,2011-05-03,0 days 16:06:00,2011-05,Household,Curtains,VINTAGE SNAP CARDS,2011,5,16,Afternoon
557502,2.46,2.46,1,United Kingdom,2011-06-20,0 days 15:32:00,2011-06,Household,Rugs,CIRCUS PARADE CHILDRENS EGG CUP,2011,6,15,Afternoon
578935,1.45,1.45,1,United Kingdom,2011-11-27,0 days 12:52:00,2011-11,Clothes,Shoes,SKETCHBOOK MAGNETIC SHOPPING LIST,2011,11,12,Afternoon
546100,0.85,10.2,12,United Kingdom,2011-03-09,0 days 12:04:00,2011-03,Clothes,Shoes,EASTER DECORATION SITTING BUNNY,2011,3,12,Afternoon
550208,12.46,12.46,1,United Kingdom,2011-04-15,0 days 10:39:00,2011-04,Garden,Seeds,VICTORIAN SEWING BOX SMALL,2011,4,10,Morning
575073,7.95,31.8,4,United Kingdom,2011-11-08,0 days 13:10:00,2011-11,Kitchen,Scales,15CM CHRISTMAS GLASS BALL 20 LIGHTS,2011,11,13,Afternoon
577078,4.13,4.13,1,United Kingdom,2011-11-17,0 days 15:17:00,2011-11,Clothes,Tops,RED GINGHAM ROSE JEWELLERY BOX,2011,11,15,Afternoon
569790,1.25,1.25,1,United Kingdom,2011-10-06,0 days 11:42:00,2011-10,Clothes,Tops,CHOCOLATE BOX RIBBONS,2011,10,11,Morning
579103,1.45,1.45,1,United Kingdom,2011-11-28,0 days 11:39:00,2011-11,Garden,Seeds,VINTAGE LEAF MAGNETIC NOTEPAD,2011,11,11,Morning
559991,4.95,4.95,1,United Kingdom,2011-07-14,0 days 12:29:00,2011-07,Kitchen,Bowls,APRON APPLE DELIGHT,2011,7,12,Afternoon
558370,0.85,10.2,12,United Kingdom,2011-06-28,0 days 15:44:00,2011-06,Garden,Turf,SANDALWOOD FAN,2011,6,15,Afternoon
578251,0.85,5.95,7,United Kingdom,2011-11-23,0 days 12:45:00,2011-11,Kitchen,Bowls,SET OF 6 3D KIT CARDS FOR KIDS,2011,11,12,Afternoon
578533,2.55,15.3,6,United Kingdom,2011-11-24,0 days 14:42:00,2011-11,Kitchen,Plates,GLITTER BUTTERFLY CLIPS,2011,11,14,Afternoon
571502,1.65,16.5,10,United Kingdom,2011-10-17,0 days 15:18:00,2011-10,Garden,Seeds,RIBBON REEL FLORA + FAUNA,2011,10,15,Afternoon
571121,4.95,44.55,9,United Kingdom,2011-10-14,0 days 09:21:00,2011-10,Kitchen,Cooking Knives,CHOCOLATE HOT WATER BOTTLE,2011,10,9,Morning
541215,4.95,29.7,6,United Kingdom,2011-01-14,0 days 13:42:00,2011-01,Clothes,Hats,CHOCOLATE HOT WATER BOTTLE,2011,1,13,Afternoon
566561,3.75,15.0,4,United Kingdom,2011-09-13,0 days 12:13:00,2011-09,Kitchen,Scales,FELTCRAFT PRINCESS OLIVIA DOLL,2011,9,12,Afternoon
573923,1.25,25.0,20,United Kingdom,2011-11-02,0 days 09:31:00,2011-11,Garden,Hoses,RED SPOT GIFT BAG LARGE,2011,11,9,Morning
578263,0.79,15.8,20,United Kingdom,2011-11-23,0 days 13:27:00,2011-11,Household,Chairs,3 RAFFIA RIBBONS VINTAGE CHRISTMAS,2011,11,13,Afternoon
566279,0.38,1.52,4,United Kingdom,2011-09-11,0 days 14:09:00,2011-09,Household,Lamps,FOLK ART METAL HEART T-LIGHT HOLDER,2011,9,14,Afternoon
578032,1.65,19.8,12,United Kingdom,2011-11-22,0 days 13:41:00,2011-11,Household,Curtains,CANDLE HOLDER SILVER MADELINE,2011,11,13,Afternoon
549241,1.65,3.3,2,United Kingdom,2011-04-07,0 days 11:40:00,2011-04,Garden,Rakes,PLASTERS IN TIN SPACEBOY,2011,4,11,Morning
548354,2.1,75.6,36,United Kingdom,2011-03-30,0 days 15:06:00,2011-03,Clothes,Shoes,COFFEE MUG APPLES DESIGN,2011,3,15,Afternoon
560824,0.55,1.65,3,United Kingdom,2011-07-21,0 days 11:23:00,2011-07,Clothes,Shoes,SET OF 60 I LOVE LONDON CAKE CASES,2011,7,11,Morning
577504,0.42,0.84,2,United Kingdom,2011-11-20,0 days 12:36:00,2011-11,Kitchen,Cutlery,SET 12 RETRO WHITE CHALK STICKS,2011,11,12,Afternoon
568591,2.08,20.8,10,United Kingdom,2011-09-28,0 days 10:39:00,2011-09,Clothes,Hats,JUMBO STORAGE BAG SKULLS,2011,9,10,Morning
556959,2.95,17.7,6,United Kingdom,2011-06-16,0 days 09:17:00,2011-06,Kitchen,Bowls,RED RETROSPOT MUG,2011,6,9,Morning
567668,1.63,4.89,3,United Kingdom,2011-09-21,0 days 15:29:00,2011-09,Clothes,Shoes,CHARLOTTE BAG APPLES DESIGN,2011,9,15,Afternoon
540821,2.51,2.51,1,United Kingdom,2011-01-11,0 days 13:16:00,2011-01,Garden,Turf,4 VANILLA BOTANICAL CANDLES,2011,1,13,Afternoon
561195,2.08,4.16,2,United Kingdom,2011-07-25,0 days 13:57:00,2011-07,Household,Rugs,SET OF 5 PANCAKE DAY MAGNETS,2011,7,13,Afternoon
538852,2.55,2.55,1,United Kingdom,2010-12-14,0 days 13:33:00,2010-12,Household,Curtains,GUMBALL COAT RACK,2010,12,13,Afternoon
563580,9.95,9.95,1,United Kingdom,2011-08-17,0 days 15:53:00,2011-08,Kitchen,Cutlery,CAKES AND BOWS GIFT  TAPE,2011,8,15,Afternoon
568701,1.65,19.8,12,United Kingdom,2011-09-28,0 days 15:07:00,2011-09,Clothes,Tops,HAND WARMER OWL DESIGN,2011,9,15,Afternoon
579525,2.55,81.6,32,United Kingdom,2011-11-30,0 days 08:23:00,2011-11,Garden,Hoses,EGG CUP HENRIETTA HEN CREAM,2011,11,8,Morning
576329,8.29,8.29,1,United Kingdom,2011-11-14,0 days 15:22:00,2011-11,Garden,Hoses,CHARLOTTE BAG VINTAGE ALPHABET,2011,11,15,Afternoon
543530,5.79,34.74,6,United Kingdom,2011-02-09,0 days 12:46:00,2011-02,Garden,Seeds,HAND WARMER OWL DESIGN,2011,2,12,Afternoon
554598,1.45,1.45,1,United Kingdom,2011-05-25,0 days 11:12:00,2011-05,Clothes,Shoes,CHILDS BREAKFAST SET CIRCUS PARADE,2011,5,11,Morning
552310,2.08,4.16,2,United Kingdom,2011-05-08,0 days 15:22:00,2011-05,Household,Lamps,MINI PAINT SET VINTAGE,2011,5,15,Afternoon
581434,3.75,22.5,6,United Kingdom,2011-12-08,0 days 16:10:00,2011-12,Kitchen,Bowls,ASSORTED COLOUR MINI CASES,2011,12,16,Afternoon
550901,1.69,13.52,8,United Kingdom,2011-04-21,0 days 12:12:00,2011-04,Household,Rugs,RETROSPOT TEA SET CERAMIC 11 PC,2011,4,12,Afternoon
553507,1.25,2.5,2,United Kingdom,2011-05-17,0 days 13:35:00,2011-05,Clothes,Shoes,WRAP DOILEY DESIGN,2011,5,13,Afternoon
578427,3.75,11.25,3,United Kingdom,2011-11-24,0 days 12:11:00,2011-11,Kitchen,Plates,MAGNETS PACK OF 4 HOME SWEET HOME,2011,11,12,Afternoon
543826,0.42,0.84,2,United Kingdom,2011-02-14,0 days 09:41:00,2011-02,Garden,Turf,LUNCH BOX WITH CUTLERY RETROSPOT,2011,2,9,Morning
579694,4.96,9.92,2,United Kingdom,2011-11-30,0 days 14:11:00,2011-11,Clothes,Tops,ASSORTED COLOURS SILK FAN,2011,11,14,Afternoon
538071,4.24,4.24,1,United Kingdom,2010-12-09,0 days 14:09:00,2010-12,Garden,Hoses,SET/6 RED SPOTTY PAPER PLATES,2010,12,14,Afternoon
571200,1.65,19.8,12,United Kingdom,2011-10-14,0 days 12:25:00,2011-10,Clothes,Shoes,METAL DECORATION NAUGHTY CHILDREN,2011,10,12,Afternoon
579456,2.1,2.1,1,United Kingdom,2011-11-29,0 days 14:20:00,2011-11,Household,Chairs,PLASTERS IN TIN STRONGMAN,2011,11,14,Afternoon
555115,4.96,19.84,4,United Kingdom,2011-05-31,0 days 14:58:00,2011-05,Household,Rugs,LUNCH BAG DOILEY PATTERN,2011,5,14,Afternoon
557739,0.55,85.8,156,United Kingdom,2011-06-22,0 days 11:43:00,2011-06,Clothes,Tops,ADVENT CALENDAR GINGHAM SACK,2011,6,11,Morning
554368,3.75,22.5,6,United Kingdom,2011-05-24,0 days 10:33:00,2011-05,Garden,Turf,DOORMAT WELCOME TO OUR HOME,2011,5,10,Morning
542602,7.95,15.9,2,United Kingdom,2011-01-30,0 days 12:09:00,2011-01,Garden,Hoses,WRAP VINTAGE PETALS  DESIGN,2011,1,12,Afternoon
546237,0.85,8.5,10,United Kingdom,2011-03-10,0 days 12:50:00,2011-03,Garden,Turf,WOODLAND CHARLOTTE BAG,2011,3,12,Afternoon
576634,1.65,39.6,24,United Kingdom,2011-11-16,0 days 09:28:00,2011-11,Household,Chairs,POSTAGE,2011,11,9,Morning
561231,1.25,12.5,10,United Kingdom,2011-07-26,0 days 10:20:00,2011-07,Household,Rugs,GREEN REGENCY TEACUP AND SAUCER,2011,7,10,Morning
540536,4.95,4.95,1,United Kingdom,2011-01-09,0 days 14:21:00,2011-01,Kitchen,Scales,WRAP GREEN PEARS,2011,1,14,Afternoon
570088,0.85,1.7,2,United Kingdom,2011-10-07,0 days 11:32:00,2011-10,Household,Lamps,SPACEBOY ROCKET LOLLY MAKERS,2011,10,11,Morning
577938,2.95,2.95,1,United Kingdom,2011-11-22,0 days 12:07:00,2011-11,Kitchen,Plates,WRAP DOLLY GIRL,2011,11,12,Afternoon
578270,6.63,79.56,12,United Kingdom,2011-11-23,0 days 13:39:00,2011-11,Garden,Hoses,SET OF 6 HERB TINS SKETCHBOOK,2011,11,13,Afternoon
575516,1.65,19.8,12,United Kingdom,2011-11-10,0 days 10:45:00,2011-11,Kitchen,Cutlery,200 RED + WHITE BENDY STRAWS,2011,11,10,Morning
555336,0.42,1.68,4,United Kingdom,2011-06-02,0 days 11:13:00,2011-06,Household,Curtains,ENAMEL WATERING CAN CREAM,2011,6,11,Morning
570210,1.45,1.45,1,United Kingdom,2011-10-09,0 days 10:48:00,2011-10,Clothes,Hats,PINK HAPPY BIRTHDAY BUNTING,2011,10,10,Morning
563585,1.25,1.25,1,United Kingdom,2011-08-17,0 days 17:01:00,2011-08,Clothes,Tops,PACK OF 6 SKULL PAPER PLATES,2011,8,17,Afternoon
555604,5.95,35.7,6,United Kingdom,2011-06-06,0 days 11:37:00,2011-06,Garden,Seeds,HEART OF WICKER SMALL,2011,6,11,Morning
539492,1.66,3.32,2,United Kingdom,2010-12-20,0 days 10:14:00,2010-12,Clothes,Tops,DOORMAT WELCOME TO OUR HOME,2010,12,10,Morning
579274,8.25,16.5,2,United Kingdom,2011-11-29,0 days 10:01:00,2011-11,Kitchen,Cutlery,JUMBO BAG PINK VINTAGE PAISLEY,2011,11,10,Morning
556887,2.95,2.95,1,United Kingdom,2011-06-15,0 days 12:36:00,2011-06,Garden,Hoses,3D CHRISTMAS STAMPS STICKERS,2011,6,12,Afternoon
554814,2.08,20.8,10,United Kingdom,2011-05-26,0 days 13:34:00,2011-05,Household,Curtains,TREASURE TIN BUFFALO BILL,2011,5,13,Afternoon
555276,4.96,4.96,1,United Kingdom,2011-06-01,0 days 17:28:00,2011-06,Household,Lamps,BLUE SPOT CERAMIC DRAWER KNOB,2011,6,17,Afternoon
553340,1.25,25.0,20,United Kingdom,2011-05-16,0 days 12:20:00,2011-05,Kitchen,Cutlery,CHILDRENS APRON APPLES DESIGN,2011,5,12,Afternoon
540255,1.66,1.66,1,United Kingdom,2011-01-05,0 days 16:50:00,2011-01,Clothes,Shoes,DOORMAT AIRMAIL,2011,1,16,Afternoon
569229,2.95,2.95,1,United Kingdom,2011-10-02,0 days 14:56:00,2011-10,Garden,Seeds,DOLLY GIRL MINI BACKPACK,2011,10,14,Afternoon
564660,3.75,15.0,4,United Kingdom,2011-08-26,0 days 14:45:00,2011-08,Garden,Turf,HEART WREATH DECORATION WITH BELL,2011,8,14,Afternoon
543923,2.95,35.4,12,United Kingdom,2011-02-14,0 days 14:14:00,2011-02,Kitchen,Plates,APRON APPLE DELIGHT,2011,2,14,Afternoon
579002,0.29,1.45,5,United Kingdom,2011-11-27,0 days 16:27:00,2011-11,Kitchen,Plates,STRAWBERRY LUNCH BOX WITH CUTLERY,2011,11,16,Afternoon
559934,0.39,14.04,36,United Kingdom,2011-07-14,0 days 09:58:00,2011-07,Clothes,Hats,PAPER BUNTING COLOURED LACE,2011,7,9,Morning
547399,4.13,16.52,4,United Kingdom,2011-03-22,0 days 16:55:00,2011-03,Garden,Turf,TRADITIONAL KNITTING NANCY,2011,3,16,Afternoon
564350,5.75,23.0,4,United Kingdom,2011-08-24,0 days 14:57:00,2011-08,Clothes,Shoes,JUMBO BAG VINTAGE DOILY,2011,8,14,Afternoon
556187,9.95,39.8,4,United Kingdom,2011-06-09,0 days 11:49:00,2011-06,Clothes,Hats,RAIN PONCHO RETROSPOT,2011,6,11,Morning
566297,0.29,1.74,6,United Kingdom,2011-09-11,0 days 15:50:00,2011-09,Household,Curtains,LARGE CHINESE STYLE SCISSOR,2011,9,15,Afternoon
567303,2.95,35.4,12,United Kingdom,2011-09-19,0 days 13:20:00,2011-09,Kitchen,Scales,PINK AND WHITE CHRISTMAS TREE 120CM,2011,9,13,Afternoon
544928,5.79,5.79,1,United Kingdom,2011-02-24,0 days 18:07:00,2011-02,Garden,Rakes,FAIRY CAKE BIRTHDAY CANDLE SET,2011,2,18,Evening
538097,1.65,13.2,8,United Kingdom,2010-12-09,0 days 14:56:00,2010-12,Garden,Rakes,MINI LIGHTS WOODLAND MUSHROOMS,2010,12,14,Afternoon
547513,4.25,4.25,1,United Kingdom,2011-03-23,0 days 13:59:00,2011-03,Kitchen,Plates,PACK 3 BOXES BIRD PANNETONE,2011,3,13,Afternoon
561695,1.45,34.8,24,United Kingdom,2011-07-29,0 days 10:00:00,2011-07,Garden,Turf,REGENCY CAKESTAND 3 TIER,2011,7,10,Morning
566005,2.55,7.65,3,United Kingdom,2011-09-08,0 days 11:56:00,2011-09,Clothes,Tops,REGENCY CAKESTAND 3 TIER,2011,9,11,Morning
562933,1.63,1.63,1,United Kingdom,2011-08-10,0 days 16:51:00,2011-08,Kitchen,Bowls,MULTICOLOUR HONEYCOMB FAN,2011,8,16,Afternoon
551009,4.13,4.13,1,United Kingdom,2011-04-26,0 days 09:50:00,2011-04,Garden,Hoses,RED RETROSPOT CAKE STAND,2011,4,9,Morning
542869,3.95,15.8,4,United Kingdom,2011-02-01,0 days 12:27:00,2011-02,Kitchen,Cooking Knives,PACK OF 12 WOODLAND TISSUES,2011,2,12,Afternoon
565232,3.29,6.58,2,United Kingdom,2011-09-02,0 days 09:30:00,2011-09,Kitchen,Scales,PACK OF 6 PANNETONE GIFT BOXES,2011,9,9,Morning
574293,1.7,163.2,96,United Kingdom,2011-11-03,0 days 15:32:00,2011-11,Garden,Rakes,PANTRY WASHING UP BRUSH,2011,11,15,Afternoon
578262,0.39,1.17,3,United Kingdom,2011-11-23,0 days 13:27:00,2011-11,Clothes,Tops,SET/6 RED SPOTTY PAPER CUPS,2011,11,13,Afternoon
576855,0.29,6.38,22,United Kingdom,2011-11-16,0 days 15:51:00,2011-11,Kitchen,Scales,RED BABY BUNTING,2011,11,15,Afternoon
575117,0.55,0.55,1,United Kingdom,2011-11-08,0 days 14:22:00,2011-11,Household,Lamps,COFFEE MUG PEARS  DESIGN,2011,11,14,Afternoon
581219,0.83,5.81,7,United Kingdom,2011-12-08,0 days 09:28:00,2011-12,Household,Lamps,HOLIDAY FUN LUDO,2011,12,9,Morning
543057,1.06,445.2,420,United Kingdom,2011-02-03,0 days 10:50:00,2011-02,Household,Curtains,ANT COPPER TURQ BOUDICCA BRACELET,2011,2,10,Morning
555548,12.75,51.0,4,United Kingdom,2011-06-05,0 days 13:16:00,2011-06,Kitchen,Plates,ROUND SNACK BOXES SET OF 4 FRUITS,2011,6,13,Afternoon
580996,2.1,14.7,7,United Kingdom,2011-12-06,0 days 17:18:00,2011-12,Clothes,Hats,TRADITIONAL PICK UP STICKS GAME,2011,12,17,Afternoon
567823,1.25,15.0,12,United Kingdom,2011-09-22,0 days 12:55:00,2011-09,Garden,Seeds,SET OF 60 I LOVE LONDON CAKE CASES,2011,9,12,Afternoon
551534,1.25,30.0,24,United Kingdom,2011-05-01,0 days 14:59:00,2011-05,Kitchen,Cooking Knives,WOODEN TREE CHRISTMAS SCANDINAVIAN,2011,5,14,Afternoon
580136,12.5,12.5,1,United Kingdom,2011-12-01,0 days 19:42:00,2011-12,Household,Curtains,FUNKY DIVA PEN,2011,12,19,Evening
